|character|text|type|character_clean|gender
0||"TITLE SEQUENCE
As the credits run, we INTERCUT the following two sequences:"|stage direction||
1||EXT. NEVADA DESERT - IDOLS - DAY|location||
2||"A SLOW DRIFT through a collection of crudely constructed,
surreal, six-foot tall ""IDOLS.""  Like modern demons.
Grotesque.  Disturbing. WE LAP DISSOLVE between details of
their twisted anatomies:  headlamp eyes, bright metal claws,
broken glass teeth."|stage direction||
3||EXT. NEVADA ROADS - DESERT - DAY|location||
4||"Two vehicles, one a Volkswagen ""bus"" decorated with stylized
flames, the other a '66 Thunderbird, speeding along a series
of eerily empty desert roads, somewhere in a wilderness of
sand and heat.
END CREDITS."|stage direction||
5||EXT. NEVADA DESERT - DAY|location||
6||"A violent WIND HOWLS around, but through the sand we-can just
make out a large, ominous building:  the HOUSE of William
Nix.  Its walls are white-washed and scrawled with GRAFFITI.
The ""family"" of IDOLS surrounds the doorway, guarding it. ON
SCREEN, the words:  '""Nevada - Thirteen Years Ago"""|stage direction||
7||EXT. NIX'S HOUSE - DAY|location||
8||"We're at the front door now, which stands open.  Leaning
against the door-frame is a scrawny, wild-eyed YOUTH, about
sixteen.  His name is BUTTERFIELD.  He's got a brooding,
almost sultry look on his face.  One of his eyes is black,
the other milky blue.  He's whittling something with a
scalpel. Distantly, the sound of CAR ENGINES.  Butterfield
narrows his eyes.
BUTTERFIELD'S P.O.V.
The Volkswagen ""bus"" and Thunderbird are approaching the
house."|stage direction||
9||(softly)|location||
10|BUTTERFIELD|Swann...?|speech|BUTTERFIELD|M
11||"He turns from the door.  In his haste he drops the WOOD he's
whittling.  He's been carving a DEATH'S HEAD."|stage direction||
12||INT. NIX'S HOUSE - ROOMS AND CORRIDORS - DAY|location||
13||"The house no longer serves any domestic function.  It has
become the temple and dormitory of Nix's small apocalyptic
cult.  As we go through the house with Butterfield we glimpse
a little of what life here is like.
The rooms are murky, and chaotic.  The walls, PAINTED with
scenes of cities and landscapes BURNING, and creatures from
some unspeakable nightmare ATTACKING, RAPING, and DEVOURING
helpless humanity.  The atmosphere is joyless, and
oppressive.
The passages become progressively darker as the boy makes his
way to the heart of the house.  Only OIL LAMPS, set on the
floor, light these claustrophobic corridors."|stage direction||
14|BUTTERFIELD|Master?|speech|BUTTERFIELD|M
15||INT. NIX'S HOUSE - MEDITATION ROOM - DAY|location||
16||"A dozen CULTISTS sit cross-legged on the floor in front of
their leader, WILLIAM NIX.  His black hair grows to his
shoulders.  His eyes are deep and glittering, his voice
seductive.  A terrifying yet charismatic presence.
All the Cultists - who are a cross-section of obsessives -
wear the same simple T-shirts, painted with the cult's SIGIL.
They watch Nix in adoration.
As Nix speaks, he juggles a FLAME, passing it from hand to
hand with casual ease..."|stage direction||
17|NIX|"And the fire said to me:  Nix, Nix,
you're my instrument. From now on,
you'll be called the Puritan..."|speech|NIX|M
18||(murmuring)|location||
19|CULTISTS|Puritan...|speech|CULTISTS|F
20||"NIX You will find a few good men and women, and together,
together you will cleanse the world."|stage direction||
21|CULTISTS|Yes...|speech|CULTISTS|F
22||Butterfield enters.|stage direction||
23|BUTTERFIELD|Master?|speech|BUTTERFIELD|M
24||Nix looks up.|stage direction||
25|BUTTERFIELD|Swann's here.|speech|BUTTERFIELD|M
26||Nix rises, smiling.|stage direction||
27||(to Cultists)|location||
28|NIX|"We'll come back to this. Get about
your business."|speech|NIX|M
29||As the Cultists disperse, Nix and Butterfield exit into|stage direction||
30||INT. NIX'S HOUSE - SANCTUM - DAY|location||
31||"A place of nightmares. Hanging from the middle of the ceiling
is another grotesque SCULPTURE, three times the bulk of a
large man, and made of metal, fly-blown animal parts and
knotted rope.  It is vaguely cruciform, but its swaying,
creaking bulk is not even faintly Christian.  It is a
perverse, sickening image, evoking insanity and agony.
From the shadows in the corner, we hear a young girl's soft
SOBBING."|stage direction||
32|NIX|Hush...|speech|NIX|M
33||"Nix goes to the GIRL.  She is twelve; beautiful, blonde, and
presently in a state of mortal fear.  She sits, bound, in a
fetal position, her face soaked with SWEAT and TEARS, her
mouth BLOODIED, her cheek BRUISED."|stage direction||
34|NIX|I said hush.|speech|NIX|M
35|GIRL|Please.  Let me go.|speech|GIRL|F
36||"From the opposite corner the SCREECH of Nix's pet BABOON.
Nix goes to it.  The animal is large and lethal."|stage direction||
37||(to Baboon)|location||
38|NIX|What is it?|speech|NIX|M
39||"The Baboon pulls on its chain, staring at the Girl and baring
its teeth as it screeches."|stage direction||
40||(to Girl)|location||
41|NIX|I think he's in love.|speech|NIX|M
42||"He unshackles the Baboon.  The animal pads toward the Girl,
trailing its chain."|stage direction||
43|GIRL|Keep it away from me.|speech|GIRL|F
44||"Nix catches hold of its chain.  Holds it back.  The Baboon
starts screeching again, scrabbling at the Girl, its NAILS
catching her arms and legs, drawing BLOOD."|stage direction||
45|GIRL|Please... please...|speech|GIRL|F
46||Nix watches her terror dispassionately.|stage direction||
47||(also watching, wide-|location||
48|BUTTERFIELD|"eyed)
Want me to shoot Swann?"|speech|BUTTERFIELD|M
49|NIX|You don't like him, do you?|speech|NIX|M
50|BUTTERFIELD|He wants your magic.|speech|BUTTERFIELD|M
51|NIX|Maybe.  Go fetch him.|speech|NIX|M
52||Butterfield exits.  Nix advances on the Girl.|stage direction||
53|GIRL|What are you going to do?|speech|GIRL|F
54||EXT. NIX'S HOUSE - DESERT - DAY|location||
55||"The two vehicles come to a halt outside Nix's house.
From the Thunderbird steps PHILIP SWANN, a nineteen- year-old
with shoulder-length hair and brilliant blue eyes.  He's not
conventionally handsome, but he's certainly striking.
From the passenger seat steps CASPAR QUAID, a black man,
studious and intense.  From the bus emerges MURRAY PIMM,
skinny and jittery, and JENNIFER DESIDERIO, a woman with a
steely gaze."|stage direction||
56||(to all three)|location||
57|SWANN|Are we ready?|speech|SWANN|M
58||(cool)|location||
59|JENNIFER|Say the word.|speech|JENNIFER|F
60||(very nervous)|location||
61|PIMM|Look, maybe we should think this over.|speech|PIMM|M
62||"On Swann, as he brings from his car three very bizarre pieces
of METALWORK.  We get only a tantalizing glimpse of them, as
he slips them into his pocket."|stage direction||
63|SWANN|No.  He's gone too far.|speech|SWANN|M
64|PIMM|So he took a child.|speech|PIMM|M
65|JENNIFER|He'll kill her.|speech|JENNIFER|F
66|PIMM|No he won't.|speech|PIMM|M
67||(determined)|location||
68|SWANN|He's not going to get the chance.|speech|SWANN|M
69||Quaid checks a gun, then slips it into his belt.|stage direction||
70|QUAID|If he gets in our fucking heads he'll drive us crazy.|speech|QUAID|M
71|SWANN|So stay out here.|speech|SWANN|M
72||"Swann starts towards the House.  Jennifer is the first to
follow, with the other two on her heels."|stage direction||
73||INT. NIX'S HOUSE - HALLWAY - DAY|location||
74||Butterfield comes to the door, as Swann steps inside.|stage direction||
75|BUTTERFIELD|He's expecting you.|speech|BUTTERFIELD|M
76||Behind Swann, Quaid and Pimm exchange nervous looks.|stage direction||
77||(to others)|location||
78|SWANN|"Look around.  If you find 'the
child, yell.  She's got blonde
hair, that's all I know."|speech|SWANN|M
79||"Butterfield turns away, smiling to himself.  Swann follows
him."|stage direction||
80||"INT. NIX'S HOUSE - ""MEDITATION"" ROOM - DAY"|location||
81||"Quaid looks into a large circular room where FIVE CULTISTS
(three men and two women) still sit.  One of the women is
breast-feeding a baby."|stage direction||
82|1ST MAN|"Hey, Quaid.  I thought you said you
weren't coming back."|speech|1ST MAN|?
83|QUAID|I changed my mind.|speech|QUAID|M
84|1ST WOMAN|Come and join us.|speech|1ST WOMAN|?
85||"She smiles a crazy smile.  Reaches out for Quaid.  A SNAKE
appears from around the back of her neck.  Quaid recoils.
And now we see that there are snakes everywhere.  In the
Cultists' clothes and hair.  Even on the baby.  Quaid turns
away.  And - shock! - there's a SNAKE on the door frame,
winding around his hand.  He strikes it to the ground, and
drives his heel down on its head."|stage direction||
86||(angry)|location||
87|SNAKE-HANDLER CULTIST|Don't do that!|speech|SNAKE-HANDLER CULTIST|?
88||"The Snake-Handler gets up.  Quaid retreats from the door.
Snake-Handler picks up the dead snake and, lifting it above
his head, dribbles its BLOOD onto his face."|stage direction||
89||"INT.   NIX'S  HOUSE  -   ""BEDROOM""   -  DAY"|location||
90||"Jennifer enters a gloomy room.  She goes to a mattress where
a BLONDE GIRL lies with her bare back to us."|stage direction||
91|JENNIFER|Don't be afraid.|speech|JENNIFER|F
92||"The Blonde Girl, BARBARA, turns over.  She has a dirty cloth
pressed to a wound between her breasts.  It is not the Girl,
of course.  She stares up at Jennifer, clearly drugged."|stage direction||
93|BARBARA|I'm not... want to see?|speech|BARBARA|?
94||"She pulls the cloth away.  She has carved the cult SIGIL into
her FLESH.  The BLOODY KNIFE lies beside her. Jennifer
retreats to the door, and exits back out into --"|stage direction||
95||INT. NIX'S HOUSE - PASSAGEWAY - DAY|location||
96||"Pimm is standing against the wall, clutching a CRUCIFIX. He
is ashen with terror.  Jennifer snatches the crucifix from
his white-knuckled fingers."|stage direction||
97|PIMM|He's going to kill us all...|speech|PIMM|M
98|JENNIFER|Where did Swann go?|speech|JENNIFER|F
99||Pimm points down the passageway towards Nix's room.|stage direction||
100||INT. NIX'S HOUSE - PASSAGEWAY OUTSIDE NIX'S SANCTUM - DAY|location||
101||"Swann wipes sweat from his upper lip, then reaches down to
his belt, to check the GUN tucked out of sight at his side.
He turns the door handle."|stage direction||
102||INT. NIX'S HOUSE - SANCTUM - DAY|location||
103||"Swann steps inside.  Nix's chair has its back to him. The
folds of Nix's robe are visible, however.  Swann hears a
muffled SOBBING from the far side of the room.
On the Girl, now gagged and lying amongst bones and filth.
Swann starts towards her, his footsteps barely audible.  As
he approaches the chair - the Baboon leaps at him screeching!
He reaches for his gun.  The chair topples.  The Baboon, half
dressed in Nix's robes, bounds towards Swann.
Swann FIRES at it.  The bullet blasts off half its head."|stage direction||
104||INT. NIX'S HOUSE - PASSAGEWAY - DAY|location||
105||"On Quaid, who draws his GUN as three CULTISTS appear in the
passageway that leads to Nix's Sanctum."|stage direction||
106|QUAID|Stay the fuck away!|speech|QUAID|M
107||(yells)|location||
108|QUAID|Pimm!  Get over here!|speech|QUAID|M
109||INT. NIX'S HOUSE - SANCTUM - DAY|location||
110||"PAN UP from the twitching Baboon corpse to Swann as he
struggles with the Girl's gag.  He has laid his gun on the
ground beside her."|stage direction||
111|SWANN|You're going to be okay.|speech|SWANN|M
112||"Out of focus, behind him, the cruciform sculpture swings
round.  Nix is hanging on it, like an idol on a grotesque
altarpiece.
The Girl sees Nix over Swann's shoulder.  Terror crosses her
face.  Swann turns."|stage direction||
113|NIX|I knew you'd come.|speech|NIX|M
114||He reaches down to Swann.|stage direction||
115|NIX|"I've got so much power to give
you, Swann.  All you have to do
is...beg."|speech|NIX|M
116|SWANN|Fuck you.|speech|SWANN|M
117|NIX|"You don't think I've got it to
give?"|speech|NIX|M
118|SWANN|No!|speech|SWANN|M
119||"Suddenly. Nix swoops down on Swann. apparently defying
gravity."|stage direction||
120|NIX|You're wrong.|speech|NIX|M
121||"He catches hold of Swann with one hand and drives him back
against the wall."|stage direction||
122|NIX|"I could eat your fucking soul,
Swann."|speech|NIX|M
123||INT. NIX'S HOUSE - PASSAGEWAY - DAY|location||
124||"Jennifer, reaches the door of the Sanctum.  Butterfield steps
from the shadows.  His KNIFE flashes as it strikes Jennifer's
hand.  BLOOD SPURTS."|stage direction||
125|JENNIFER|Fuck!|speech|JENNIFER|F
126||She retreats, staunching her bleeding hand.|stage direction||
127||INT. NIX'S HOUSE - SANCTUM - DAY|location||
128||"Nix has Swann trapped against the wall and is working his
fingers against Swann's temples.  Working, working, like a
psychic surgeon plying against the belly of a patient."|stage direction||
129|NIX|"You want to know what the world
really looks like?"|speech|NIX|M
130||"Swann struggles, but he can't get free of Nix's hold.
And now -- horribly -- Nix's fingers slide beneath the skin
of Swann's temples, without a drop of blood being spilt."|stage direction||
131|NIX|"Want to see flesh with a god's
eyes?"|speech|NIX|M
132||Swann SCREAMS as Nix's mind-hold seizes him.|stage direction||
133||INT. NIX'S HOUSE - PASSAGEWAY - DAY|location||
134||"Quaid levels his gun at Butterfield, who is guarding the
Sanctum door.  Jennifer is at Quaid's side."|stage direction||
135|SWANN (V.O.)|Aah!|speech|SWANN|M
136|QUAID|Get away from the door!|speech|QUAID|M
137||"Butterfield shakes his head.  Quaid FIRES.  The bullet.
strikes the wall beside Butterfield's head.  He retreats,
growling like a rabid animal.  Quaid kicks the Sanctum door
open, and enters."|stage direction||
138||INT. NIX'S HOUSE - SANCTUM - DAY|location||
139|QUAID|Swann?|speech|QUAID|M
140||(to Quaid)|location||
141|NIX|Here he is.|speech|NIX|M
142||"Swann stumbles into the middle of the room, the whites of his
eyes blood-red."|stage direction||
143|NIX|"Take a look, Swann!  These are your
friends."|speech|NIX|M
144||"On Swann, reeling like a drunkard as he looks up at Quaid and
Jennifer."|stage direction||
145|JENNIFER (V.O.)|What have you done to him?|speech|JENNIFER|F
146||SWANN'S P.O.V.|unknown||
147||"of Quaid and Jennifer.  To Swann's eyes, their faces seem to
be MORPHING.  Their humanity is MELTING AWAY. What's left is
like a jellyfish with black, soulless eyes:  PRIMEVAL MUCK."|stage direction||
148|QUAID (V.O.)|Swann.  It's okay.|speech|QUAID|M
149||"Quaid reaches for Swann, who retreats in horror, shaking his
head violently."|stage direction||
150|SWANN|"Don't touch me.  He's got... got
into my head."|speech|SWANN|M
151|NIX|"You want to be like that, Swann?
Mud and shit?"|speech|NIX|M
152||"Swann turns away from Quaid and Jennifer in disgust.
SWANN'S P.O.V.
of Nix, his arms outstretched in welcome.  His face has an
aura of pulsing light."|stage direction||
153|NIX|Come here.  Share the power.|speech|NIX|M
154||"ON a GUN, leveled. .We don't see by whom.  The trigger is
pulled.
The bullet strikes Nix's back and explodes out of his chest.
ON SWANN, staring at Nix.
SWANN'S P.O.V. of Nix, as the aura of light dies.
Just for a moment - a terrible moment - Swann glimpses
something else. MORPHING out of Nix's features.  A NIGHTMARE
FACE with waves of DARKNESS emanating from the middle of its
forehead.
Swann covers his eyes."|stage direction||
155||(raging, terrifying)|location||
156|NIX|Swann!  Swann!|speech|NIX|M
157||"Nix staggers, letting out an ungodly HOWL, and drops to his
knees, clutching the WOUND.  As he falls, he reveals the
ashen Girl, who is still holding Swann's smoking GUN."|stage direction||
158||(a roar)|location||
159|NIX|Help me!|speech|NIX|M
160||"Swann shakes his head, ridding himself of Nix's mind-
control."|stage direction||
161|SWANN|Jesus-|speech|SWANN|M
162||INT. NIX'S HOUSE - PASSAGEWAY OUTSIDE SANCTUM - DAY|location||
163||Pinon stands guard, his gun pointed on several cultists.|stage direction||
164||(with distressing|location||
165|1ST CULTIST|"confidence)
You can't kill him."|speech|1ST CULTIST|?
166|2ND CULTIST|He'll just rise up again!|speech|2ND CULTIST|?
167||INT. NIX'S HOUSE - SANCTUM - DAY|location||
168||"On Nix, doing just that:  rising up.  Right hand clamped to
his bloody chest, left hand reaching for Swann."|stage direction||
169|NIX|Help me!|speech|NIX|M
170||"Quaid FIRES at him again. Strikes his shoulder.  And again.
Strikes his leg.  Nix collapses to the ground,"|stage direction||
171|JENNIFER|Quickly!|speech|JENNIFER|F
172||"They have come prepared for this.  Swann now takes from his
jacket the three strange pieces of METALWORK.  There are
SCREWS in then all."|stage direction||
173||(seeing)|location||
174|NIX|Swann?  What are you doing?|speech|NIX|M
175|SWANN|Binding you.|speech|SWANN|M
176||"He clamps one of the pieces over Nix's EYES.  It fits like an
eyeless mask.  Nix thrashes and SCREAMS.  Swann lays his
hands on the side of the mask, and — LIKE MAGIC -- his touch
makes the screws tighten of their own accord, grinding into
Nix's flesh and bone with a gut- wrenching SOUND.  BLOOD runs
from the screw-holes."|stage direction||
177|NIX|Fuck you, Swann!  Fuck you!|speech|NIX|M
178||Now the second piece, over his MOUTH.|stage direction||
179|NIX|Sw—|speech|NIX|M
180||"He's silenced.  The piece screws itself into-his head, like
the first.  And now comes the third and final piece:  over
the nose and into the ears.  Again, it screws itself into
place.
Swann has done all he can.  He retreats from Nix's body, as
it continues to convulse.  We go from face to ashen face, as
each man and woman watches and waits.  Why won't he die?
And now, at last  the violence of Nix's death-throes
diminishes.  Nix's body bends like a bow, arching off the
ground, and with one last, terrible spasm, he dies."|stage direction||
181||(quietly)|location||
182|GIRL|Is it finished?|speech|GIRL|F
183|SWANN|It's finished.|speech|SWANN|M
184||INT. NIX'S HOUSE - PASSAGEWAY - DAY|location||
185||"The Cultists' faces slacken, as though some mental hold Nix
had upon them has disappeared.  Then they start to retreat,
their confidence and courage gone.
Pimm steps into the Sanctum."|stage direction||
186||INT. NIX'S HOUSE - SANCTUM - DAY|location||
187||"The five assassins, including the Girl, stand around Nix's
body.  Swann has his arm around the Girl."|stage direction||
188|PIMM|Dead?|speech|PIMM|M
189|QUAID|Dead.|speech|QUAID|M
190|PIMM|What now?|speech|PIMM|M
191|SWANN|"We bury him so deep no one will
ever find him."|speech|SWANN|M
192||EXT. NIX'S .HOUSE - WIDE SHOT - DUSK|location||
193||"The wind has died away.  It's eerily calm.  Butterfield
dashes towards camera, then halts.
HE LOOKS BACK, as Nix's killers load his huge, limp CORPSE
into the back of Murray Pimm's bus.
ON Butterfield.  He watches, with a feral look on his face."|stage direction||
194||EXT. LOS ANGELES - MONTAGE - DAY|location||
195||"The city looks magical in the spring light, its palms and
gleaming towers, its rivers of sun-baked traffic, evoking
some fantastical metropolis.  This, for all its smog and
congestion, is a city of exoticism and enchantments.
ON SCREEN, the words:  ""LOS ANGELES - THIRTEEN YEARS LATER"""|stage direction||
196||EXT. STARDUST HOTEL - DAY|location||
197||"The facade of this small HOTEL off Hollywood Boulevard needs
a lick of paint, and the neon sign is blinking fitfully, but
it has a certain charm."|stage direction||
198||INT. STARDUST HOTEL - LOBBY - DAY|location||
199||"A large deteriorating mural of Hollywoodland, depicting a
host of 50's movie stars, dominates the lobby.
At the front desk - with his back to us at present - stands
HARRY D'AMOUR.  He is having difficulty getting the pretty
but vacant BLONDE at the reception desk to comprehend his
name."|stage direction||
200|BLONDE GIRL|How'd you spell that again?|speech|BLONDE GIRL|F
201|HARRY|"D.A.M.O.U.R.  D'Amour.  Harry
D'Amour."|speech|HARRY|M
202|BLONDE GIRL|D'Amour.|speech|BLONDE GIRL|F
203|HARRY|Right.|speech|HARRY|M
204|BLONDE GIRL|Isn't that French for something?|speech|BLONDE GIRL|F
205||ON THE BELLBOY, approaching Harry from the front door.|stage direction||
206|BELLBOY|Mister D'Amour?|speech|BELLBOY|?
207||(to Blonde)|location||
208|HARRY|Yeah.  It's French.|speech|HARRY|M
209|BLONDE GIRL|For love, right?|speech|BLONDE GIRL|F
210|BELLBOY|Mister D'Amour?|speech|BELLBOY|?
211||(to Blonde)|location||
212|HARRY|Right.|speech|HARRY|M
213||(grinning)|location||
214|BLONDE GIRL|That's so cool.|speech|BLONDE GIRL|F
215|BELLBOY|Mister D'Amour?|speech|BELLBOY|?
216||"Harry turns.  He's wearing a washed-out Grateful Dead t-
shirt, an Italian cut linen suit, and glasses.  He's
handsome, unshaven, 35-ish, with an open easy smile."|stage direction||
217|HARRY|Yeah?|speech|HARRY|M
218|BELLBOY|"You haven't paid the cab.  He won't
give us your bags 'til you pay him."|speech|BELLBOY|?
219|HARRY|How much?|speech|HARRY|M
220|BELLBOY|Thirty-five bucks.|speech|BELLBOY|?
221|HARRY|"Tell him he can keep them. The
Bellboy looks puzzled."|speech|HARRY|M
222|HARRY|Just kidding.|speech|HARRY|M
223||"Harry gets out his wallet and hands over four ten-dollar
bills."|stage direction||
224|HARRY|I've got my life in there.|speech|HARRY|M
225||INT. HARRY'S HOTEL ROOM - DAY|location||
226||"On the suit-case, which is now on the bed.  Harry flings it
open.  Inside, mingled with the clothes, a bizarre collection
of items, which he tosses out onto the coverlet.  A GUN.  A
CRUCIFIX.  A STATUE of Shiva, the Hindu Lord of creation and
destruction.
ON HARRY, as he heads into the bathroom.  Turns on the
shower.  Starts to undress."|stage direction||
227||EXT. STARDUST HOTEL - DUSK|location||
228||"Harry, his hair still wet from his shower, steps out into the
sun.  Squints.  Puts on sunglasses."|stage direction||
229|HARRY|Hello, L.A.|speech|HARRY|M
230|BELLBOY|Have a nice evening, Mr. D'Amour.|speech|BELLBOY|?
231|HARRY|You bet.|speech|HARRY|M
232||EXT. MELROSE RESTAURANT - NIGHT|location||
233||"Harry stands, in a shabby doorway across the street from a
classy restaurant.  It's RAINING.
ON TAPERT, a middle-aged, balding man with a very pretty
WOMAN opposite him, sitting at a table close to the window.
Tapert makes a joke (unheard).  The woman laughs.
ON HARRY, chewing on a hamburger, as he speaks into his tape
recorder."|stage direction||
234|HARRY|"Nine-eighteen p.m.  Tapert's either
got a great sense of humour or he's
paying her to laugh."|speech|HARRY|M
235||(looks at hamburger in|location||
236|HARRY|"disgust)
Jesus."|speech|HARRY|M
237||On Tapert, as he rises from the table.|stage direction||
238||(into tape recorder)|location||
239|HARRY|He's finished.|speech|HARRY|M
240||"Tapert exits the restaurant, and crosses the street. Harry
tosses his half-eaten hamburger away, and goes to his car."|stage direction||
241||EXT. HARRY'S CAR - MELROSE - NIGHT|location||
242||"Harry pulls the parking ticket off the windshield, screws it
up and gets in."|stage direction||
243||INT. HARRY'S CAR - MELROSE - NIGHT|location||
244||(into tape)|location||
245|HARRY|"Nine twenty-six p.m.  He's off
again."|speech|HARRY|M
246||He turns the key in the ignition.|stage direction||
247||EXT. QUAID'S OFFICES - SILVERLAKE - NIGHT|location||
248||"In neon blue and purple, a sign blazes in a store window.  It
reads:  TAROT CARD AND CRYSTAL READINGS - $15 SPECIAL
ON TAPERT, as he hurries across the street, and through the
door beside the store window.
WE PAN OFF the door as Harry's car comes to a halt on the far
side of the street.
Harry gets out of the car.  Stares at the sign in the window,
puzzled."|stage direction||
249|HARRY|Superstitious?|speech|HARRY|M
250||He starts across the street.  Suddenly:|stage direction||
251|TAPERT (V.O.)|Oh my God!|speech|TAPERT|M
252||"Tapert emerges, his face white with terror.  He stumbles to
his car, and he's away.  Harry freezes, caught between the
need to follow Tapert and sheer curiosity. He gives in to the
latter, and steps inside."|stage direction||
253||INT. QUAID'S OFFICES - STAIRWELL - NIGHT|location||
254||"An illuminated ARROW points up the stairs.  Harry ascends,
past faded PHOTOGRAPHS of Caspar Quaid with famous faces.
At the landing, the passageway turns ninety degrees. Harry
halts, and takes out his GUN.
There's a strange RUMBLING SOUND approaching from round the
corner.  Harry chances a look.  There's a short length of
passageway, leading to an open door.  From the threshold a
CRYSTAL BALL rolls towards Harry, BLOOD- SMEARED.  This is
the source of the rumbling.  Harry stops the ball before it
falls down the stairs.
Dead silence.  After a beat, Harry creeps towards the open
door.  He pushes it open.  Inside, chaos.  The fake antique
FURNITURE is splintered, the ASTRAL CHARTS slashed."|stage direction||
255||INT. QUAID'S OFFICES - WAITING ROOM - NIGHT|location||
256||"There are two offices.  In the front, a Waiting Room, into
which Harry now steps.  Beyond it, through a door that stands
narrowly ajar, the Fortune Telling Room.
From out of the Fortune Telling Room, a MOAN."|stage direction||
257|QUAID (V.O.)|Ahh. . .|speech|QUAID|M
258||"Harry crosses the Waiting Room, reaching into his jacket for
his gun.  Suddenly, a nightmarish FIGURE leaps from the
shadows.
His name is RAY MILLER.  He's as crazy as a rabid dog, teeth
sharpened, eyes wild.  Nix's SIGIL is tattooed on the middle
of his forehead.  He STRIKES the GUN from Harry's hand and
goes for his throat.
Harry reaches out behind him, picks up a phrenologist's BUST
and SMASHES it on Miller's skull.
Miller reels back.  Harry makes a dash for the door to the
Fortune Telling Room."|stage direction||
259|MILLER|Fuckhead.|speech|MILLER|M
260||INT. QUAID'S OFFICES - FORTUNE-TELLING ROOM - NIGHT|location||
261||"A mysterious, candle-lit space.  In the middle of the room, a
table.  At it sits Quaid. thirteen years older. He has been
tortured close to death.  Several small SCALPELS protrude
from his chest and neck.  His life is ebbing away.  On the
table in front of him, a fan of TAROT CARDS, BLOOD-SPATTERED.
Harry races in through the open door from the Waiting Room."|stage direction||
262|HARRY|What the fuck!?|speech|HARRY|M
263||"Harry picks up the PHONE.  It's dead.  Miller charges at the
door."|stage direction||
264|HARRY|Shit!|speech|HARRY|M
265||"Harry SLAMS the door in Miller's face, and locks it.
As he does so, the candles FLICKER.  Harry looks up.  A
FIGURE looms from the darkness behind Quaid.  He's in his
late twenties:  an androgynous, disturbing sight. His long
hair is drawn back into a pony-tail.  His mismatched eyes -
one black, one milky blue, tell us that he is Butterfield.
His hands are BLOODY, and he carries one last SCALPEL."|stage direction||
266||(to Butterfield)|location||
267|HARRY|"Don't touch him."""|speech|HARRY|M
268||"Butterfield strokes the wounds on Quaid's cheek.  Quaid sobs
in pain."|stage direction||
269|BUTTERFIELD|What are you going to do about it?|speech|BUTTERFIELD|M
270||"Miller's hand tears at the wood around the lock from the
other side.  His fingers appear, scrabbling to tear the lock
out.  Harry doesn't move, or Miller will be through."|stage direction||
271||(to Harry)|location||
272|BUTTERFIELD|"Ever watched a man die?  If you
watch very closely, you can
sometimes see the soul escaping.
And if you're very quick, you can
catch it."|speech|BUTTERFIELD|M
273|QUAID|"Please... Butterfield... I wasn't
there.  Ask Pimm."|speech|QUAID|M
274|BUTTERFIELD|"Pimm's dead.  Jennifer Desiderio's
disappeared.  They knew the Puritan
was coming home."|speech|BUTTERFIELD|M
275||"As this exchange goes on, Miller pulls the lock out of the
door and starts to THROW HIMSELF against it from the other
side.  It's all Harry can do to keep himself from being
pitched across the room.  He looks around for some means of
defense.  There's a crack in the drapes to the left of the
table.  Behind it a WINDOW."|stage direction||
276|BUTTERFIELD|"So do you.  You've seen the future.
Haven't you?"|speech|BUTTERFIELD|M
277|QUAID|Yes.|speech|QUAID|M
278|BUTTERFIELD|And are you afraid?|speech|BUTTERFIELD|M
279|QUAID|Yes.|speech|QUAID|M
280||"Suddenly, Harry steps aside.  The door's flung open. Miller
CHARGES in.  Harry catches hold of his arm, and THROWS him
against the drape.  The window CRACKS; the drape comes down
around Miller.  Amber STREETLIGHT floods in.
Butterfield is momentarily distracted.  Harry STRIKES the
scalpel from his hands.
Miller, meanwhile, is struggling to free himself from the
folds of the drapes.  Harry lands a solid KICK to the man's
belly.  Miller is THROWN back against the cracked window,
which SHATTERS.  Still wrapped in the drape, he FALLS OUT.
Harry turns back to arrest Butterfield, but he's already
making his escape.  Harry starts after him."|stage direction||
281||(to Harry)|location||
282|QUAID|Don't leave me.|speech|QUAID|M
283||"He turns back.  TEARS are pouring down the man's face. Harry
goes back to comfort Quaid, as Butterfield escapes down the
stairs."|stage direction||
284|HARRY|You need an ambulance.|speech|HARRY|M
285||(in pain)|location||
286|QUAID|"Too late.  Why are you here? Did
you cone... up here for a reading?"|speech|QUAID|M
287||Quaid takes hold of Harry's hand.|stage direction||
288|HARRY|NO ... I...|speech|HARRY|M
289||"Quaid stares at Harry's HAND.  Fascinated, he momentarily
forgets his pain.  He traces the lines with bloody fingers."|stage direction||
290||(quietly)|location||
291|QUAID|My God.|speech|QUAID|M
292|HARRY|What?|speech|HARRY|M
293|QUAID|"You've taken some strange
journeys in your life."|speech|QUAID|M
294|HARRY|Yeah.  You could say that.|speech|HARRY|M
295|QUAID|"You're drawn to the dark side, over
and over.  And it's drawn to you."|speech|QUAID|M
296||(looks at Harry)|location||
297|QUAID|You don't like that.|speech|QUAID|M
298|HARRY|Not much.|speech|HARRY|M
299|QUAID|"You can't change it.  You have to
walk..."|speech|QUAID|M
300||(coughs)|location||
301|QUAID|"...walk the line between Heaven and
Hell.  It's your destiny.  Accept
it."|speech|QUAID|M
302||"Harry takes his hand from Quaid's grip.  Quaid winces in
pain."|stage direction||
303|HARRY|Hold on.|speech|HARRY|M
304|QUAID|"I'm not afraid to die.  There's
something terrible... coming
home..."|speech|QUAID|M
305|HARRY|The Puritan?|speech|HARRY|M
